sample_id,image_file,side,roi_name,object_id,centroid_x,centroid_y,area_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,region
demo_image,demo_image.tif,right,CPu_R,53,5436.935427574171,1893.6485165794063,2865,1859,5403,1933,5471,dorsal
demo_image,demo_image.tif,right,CPu_R,54,5093.092146596859,1914.074694589878,2865,1869,5056,1964,5129,dorsal
demo_image,demo_image.tif,right,CPu_R,55,5388.585091420535,1897.2611345522737,2133,1869,5361,1931,5419,dorsal
demo_image,demo_image.tif,right,CPu_R,56,5535.170948155068,1929.170481083606,2141,1888,5501,1973,5566,dorsal
demo_image,demo_image.tif,right,CPu_R,57,4867.535534213685,1994.3534213685475,8330,1891,4837,2077,4904,dorsal
demo_image,demo_image.tif,right,CPu_R,58,5434.88900273224,1944.5908469945357,2928,1904,5395,1979,5471,dorsal
demo_image,demo_image.tif,right,CPu_R,59,5190.711883408072,1931.8508968609865,892,1909,5167,1961,5210,dorsal
demo_image,demo_image.tif,right,CPu_R,60,5035.137085137085,1962.5798804370231,4851,1910,4993,2029,5067,dorsal
demo_image,demo_image.tif,right,CPu_R,62,5184.839176161262,1964.2703768624017,2282,1916,5162,2006,5209,dorsal
demo_image,demo_image.tif,right,CPu_R,63,5507.860009332711,1966.5090993933736,2143,1921,5483,2014,5533,dorsal
demo_image,demo_image.tif,right,CPu_R,64,5242.661804922516,1973.614706776056,3291,1926,5210,2045,5265,dorsal
demo_image,demo_image.tif,right,CPu_R,65,4986.601559850797,1963.795523906409,2949,1928,4954,1998,5020,dorsal
demo_image,demo_image.tif,right,CPu_R,66,5395.803571428572,1953.2888655462184,952,1935,5375,1975,5414,dorsal
demo_image,demo_image.tif,right,CPu_R,67,5708.443435177539,1965.6325350949628,1211,1942,5692,1991,5725,dorsal
demo_image,demo_image.tif,right,CPu_R,68,5630.182608695653,1977.988932806324,1265,1944,5606,2003,5647,dorsal
demo_image,demo_image.tif,right,CPu_R,69,5746.799640610961,1966.651392632525,1113,1944,5726,1991,5769,dorsal
demo_image,demo_image.tif,right,CPu_R,70,5430.970108695652,1996.5167572463768,2208,1965,5406,2031,5456,dorsal
demo_image,demo_image.tif,right,CPu_R,71,5124.902451225613,2004.6673336668337,1999,1979,5099,2035,5154,dorsal
demo_image,demo_image.tif,right,CPu_R,72,5798.746511627907,2004.379069767442,860,1984,5787,2026,5814,dorsal
demo_image,demo_image.tif,right,CPu_R,73,5547.1970731707315,2014.8136585365853,1025,1985,5530,2043,5569,dorsal
demo_image,demo_image.tif,right,CPu_R,75,5391.297002724796,2036.5040871934605,2569,1990,5374,2086,5410,dorsal
demo_image,demo_image.tif,right,CPu_R,76,5759.044319097502,2021.9290894439969,1241,1991,5740,2058,5777,dorsal
demo_image,demo_image.tif,right,CPu_R,77,5019.362481680508,2033.6846604787495,4094,1992,4983,2077,5056,dorsal
demo_image,demo_image.tif,right,CPu_R,78,5472.475328947368,2016.0822368421052,1216,1996,5453,2035,5496,dorsal
demo_image,demo_image.tif,right,CPu_R,79,4762.112480739599,2031.7326656394453,1298,1997,4751,2072,4776,dorsal
demo_image,demo_image.tif,right,CPu_R,80,5738.302918207974,2034.5717221537195,2433,1997,5708,2080,5775,dorsal
demo_image,demo_image.tif,right,CPu_R,81,5648.916068866571,2038.3195839311336,2788,2001,5622,2078,5680,dorsal
demo_image,demo_image.tif,right,CPu_R,82,5425.953922789539,2059.961083437111,3212,2002,5404,2105,5458,dorsal
demo_image,demo_image.tif,right,CPu_R,83,5529.355443403028,2031.8010093727469,1387,2007,5505,2062,5552,dorsal
demo_image,demo_image.tif,right,CPu_R,84,5233.469135802469,2048.420754087421,2997,2010,5207,2086,5262,dorsal
demo_image,demo_image.tif,right,CPu_R,85,5169.546456692913,2051.7311023622046,2540,2015,5140,2095,5202,dorsal
demo_image,demo_image.tif,right,CPu_R,86,5131.829931972789,2063.0461401952084,3381,2016,5093,2110,5169,dorsal
demo_image,demo_image.tif,right,CPu_R,88,4986.154722036169,2051.614869390489,1493,2025,4965,2079,5011,dorsal
demo_image,demo_image.tif,right,CPu_R,89,4796.584792122539,2064.176695842451,1828,2026,4781,2104,4814,dorsal
